source,target,distance
G2,AC,1
G2,F2,1
G1,PA,1
G0,TM,1
GS,DI,1
GS,EO,1
GS,HT,1
GS,TS,1
GS,HE,1
GS,RU,1
GS,TR,1
GS,NE,1
GS,TH,1
GS,PO,1
GS,AC,1
GS,CH,1
GS,AE,1
GS,AG,1
GS,CA,1
GS,AJ,1
GS,AT,1
GS,AX,1
GS,ME,1
GS,OD,1
GS,MT,1
GS,SA,1
GS,SF,1
GR,SL,1
GR,AF,1
GL,DI,1
GL,3V,1
GL,HT,1
GL,K1,1
GL,M1,1
GL,5C,1
GL,07,1
GL,TU,1
GL,PD,1
GL,7Z,1
GL,AE,1
GL,AG,1
GL,ZE,1
GL,AJ,1
GL,AO,1
GL,2D,1
GL,AP,1
GL,0F,1
GL,0G,1
GL,L1,1
GL,0J,1
GL,0H,1
GL,ME,1
GL,SA,1
3Z,3Y,1
3Z,3X,1
3Z,06,1
3Z,3W,1
3Z,AL,1
3Z,40,1
3Z,93,1
3Z,94,1
3Y,3X,1
3Y,06,1
3Y,3W,1
3Y,40,1
3Y,93,1
3Y,94,1
3X,06,1
3X,3W,1
3X,40,1
3X,93,1
3X,94,1
3S,EP,1
3R,AJ,1
3Q,AJ,1
3P,AJ,1
3W,06,1
3W,AL,1
3W,40,1
3W,MR,1
3W,93,1
3W,94,1
3V,ME,1
3V,AC,1
3V,XA,1
3V,07,1
3V,AJ,1
3V,J2,1
3V,HT,1
3V,K1,1
3V,M1,1
3V,0G,1
3V,L1,1
3V,0J,1
3V,0F,1
3V,SA,1
3V,0H,1
3U,30,1
3U,HT,1
3T,PS,1
3T,AI,1
3T,AO,1
3T,ID,1
3T,PO,1
3T,4C,1
3K,OD,1
3J,OD,1
3I,OD,1
3H,OD,1
3O,AJ,1
3N,AJ,1
3M,OD,1
3L,OD,1
3C,OD,1
3C,3D,1
3C,DI,1
3B,3A,1
3B,HD,1
3B,AG,1
3A,39,1
3A,HD,1
3G,DI,1
3F,OD,1
3E,OD,1
3D,OD,1
3D,DI,1
Z0,MR,1
Z1,AC,1
Z1,A2,1
ZE,DM,1
ZE,66,1
ZE,BL,1
ZE,HP,1
ZE,HM,1
ZE,HT,1
ZE,62,1
ZE,FD,1
ZE,65,1
ZE,1G,1
ZE,1F,1
ZE,68,1
ZE,83,1
ZE,DT,1
ZE,1K,1
ZE,HD,1
ZE,HE,1
ZE,67,1
ZE,PP,1
ZE,AZ,1
ZE,TU,1
ZE,TS,1
ZE,HR,1
ZE,PA,1
ZE,TH,1
ZE,TI,1
ZE,RH,1
ZE,PO,1
ZE,PR,1
ZE,AC,1
ZE,IR,1
ZE,AE,1
ZE,AF,1
ZE,XB,1
ZE,AJ,1
ZE,AM,1
ZE,2E,1
ZE,AR,1
ZE,AT,1
ZE,CR,1
ZE,69,1
ZE,ER,1
ZE,6A,1
ZE,LE,1
ZE,MC,1
ZE,AP,1
ZE,OG,1
ZE,MO,1
ZE,OC,1
ZE,SL,1
ZE,64,1
ZE,SA,1
ZE,SE,1
ZF,AC,1
ZF,BO,1
ZF,NO,1
ZF,XB,1
ZF,IR,1
ZF,PA,1
ZF,EU,1
ZF,PH,1
ME,DI,1
ME,03,1
ME,HT,1
ME,TS,1
ME,4F,1
ME,K1,1
ME,P1,1
ME,HN,1
ME,HL,1
ME,4G,1
ME,1I,1
ME,AE,1
ME,PS,1
ME,07,1
ME,9A,1
ME,PX,1
ME,TU,1
ME,NE,1
ME,EP,1
ME,A0,1
ME,TM,1
ME,PN,1
ME,TA,1
ME,AC,1
ME,CH,1
ME,AG,1
ME,AF,1
ME,AJ,1
ME,AL,1
ME,4U,1
ME,AN,1
ME,0C,1
ME,AR,1
ME,0F,1
ME,AT,1
ME,L1,1
ME,IA,1
ME,AX,1
ME,0H,1
ME,AZ,1
ME,ID,1
ME,8H,1
ME,12,1
ME,PA,1
ME,OD,1
ME,8G,1
ME,J1,1
ME,MR,1
ME,M1,1
ME,0J,1
ME,6B,1
ME,D0,1
ME,0G,1
MG,A0,1
MG,9K,1
MG,AJ,1
MG,15,1
MG,BR,1
MG,6G,1
MG,6H,1
MG,AL,1
MG,OD,1
MG,TS,1
MG,HT,1
MG,E0,1
MG,AP,1
MG,TM,1
MG,7R,1
MG,PD,1
MG,MR,1
MG,EU,1
MG,4Z,1
MG,8K,1
MG,ID,1
38,37,1
38,AG,1
MC,HE,1
33,AG,1
32,AG,1
31,AO,1
31,02,1
31,AE,1
31,PD,1
